,folio,topic,hand,quire,language,topic_nmf
207,f105v,starred paragraphs,3,18,b,1
208,f106r,starred paragraphs,3,18,b,5
209,f106v,starred paragraphs,3,18,b,1
210,f107r,starred paragraphs,3,18,b,1
211,f107v,starred paragraphs,3,18,b,1
212,f108r,starred paragraphs,3,18,b,1
213,f108v,starred paragraphs,3,18,b,1
214,f111r,starred paragraphs,3,18,b,1
215,f111v,starred paragraphs,3,18,b,1
216,f112r,starred paragraphs,3,18,b,1
217,f112v,starred paragraphs,3,18,b,3
218,f113r,starred paragraphs,3,18,b,1
219,f113v,starred paragraphs,3,18,b,1
220,f114r,starred paragraphs,3,18,b,1
221,f114v,starred paragraphs,3,18,b,1
222,f115r,starred paragraphs,2,18,b,1
223,f115v,starred paragraphs,3,18,b,1
224,f116r,starred paragraphs,3,18,b,1
